Sexo Masa Per_abdo Long_pie Long_man Estatura
Hom 65 79.5 26.6 19.5 172.3
Hom 70.5 95.2 23.2 17.8 163.3
Hom 87.7 93 25.9 19.4 176.6
Hom 86.9 94.1 24.9 18.5 176.3
Hom 78.7 95.8 25.6 18.8 168
Hom 69 88.2 25.1 17.8 165.5
Hom 80.7 97.5 24.8 18.3 170.1
Hom 91.6 89 27.2 20.5 182.4
Hom 71 82.3 26.4 18.5 175.1
Hom 76.3 84.6 25.2 18.5 174.7
Hom 68.9 91.1 26.5 19.1 178.2
Hom 73.3 83.9 26 19.3 178
Hom 59.6 73.5 25.2 17.7 168.3
Hom 66.7 94.9 21.4 15.9 144
Hom 68.1 83.4 23.9 18 164.1
Hom 82 91.1 27.3 19.5 181.3
Hom 77.3 87.7 26.4 19.2 172.8
Hom 69.6 86.3 25 18.8 163.4
Hom 89.4 91.5 26.3 18.9 175.3
Hom 74.6 84.7 26.1 18.3 177
Hom 79.3 93.9 26.1 18.8 174.1
Hom 66.4 80 26.1 19.4 172.4
Hom 62.2 76 25.2 18 171.4
Hom 54 74.3 25.3 18.6 166.6
Hom 65.1 79.5 24.9 18.2 164.8
Hom 72.9 83.3 25.4 17.8 169.5
Hom 76.1 85 25.6 18.7 182.3
Hom 88.1 100.1 26.3 18.4 170.3
Hom 68.7 80.7 25 18.8 169.2
Hom 70.6 82.9 25.6 19.2 164.2
Hom 78.7 91.5 26 19.2 166.9
Hom 62.7 76.4 26.2 18.5 172.4
Hom 63.9 75.3 24.5 17.3 167.8
Hom 67.4 79.6 26.2 19.8 175.9
Hom 51.7 71.9 25.7 18.2 163.9
Hom 65.4 83.7 24.7 17.2 161.7
Hom 69.4 79.7 24.4 18 169.9
Hom 58.7 72.5 25.2 18.7 167.3
Hom 66.5 86.3 25.5 18.4 170.3
Hom 57.2 78.3 24.9 18.9 160.5
Hom 75.3 89.5 27.2 20 173.4
Hom 56.9 74.1 25.2 19.6 169.6
Hom 69.4 82.4 25.5 18.8 173.2
Hom 62.5 79.3 26.2 18.1 171.7
Hom 58 80 23.5 17.1 159.8
Hom 72 96.2 24.8 17.9 165.9
Hom 89.6 96.9 27.4 19.9 174.3
Hom 81.8 92.5 27.8 20.7 174.3
Hom 63.7 79.3 25.2 18.5 166.9
Hom 72.5 88.1 23.8 17.5 166.3
Hom 78.1 85.8 27.5 20.1 168.6
Hom 58.4 72.5 26.2 18.7 170.1
Hom 73.6 91.7 24.8 17.6 162.1
Hom 73.3 90.3 24.5 18.7 167.4
Hom 53.2 72.3 24.3 17.8 163.3
Hom 58.8 78.2 24.6 17.7 162.3
Hom 66.6 85.1 24.1 18.1 168.2
Hom 71 82.5 27.9 19.8 178.9
Hom 87 93.8 27 20 179
Hom 72.9 84.4 27 20.5 175.2
Hom 63.4 77.2 26.4 19.1 176.4
Hom 62.5 74.2 25.3 19.2 173.7
Hom 87.9 98.9 25.9 19.2 171.8
Hom 67.4 87 27.6 20.1 170.8
Hom 65.8 77.5 24.2 18.3 168.7
Hom 59.5 79.5 24.9 18.1 165.4
Hom 76.2 82.7 27.7 21 181.1
Hom 54.5 74.2 23.9 17.9 166.9
Hom 62 77.9 25.8 19.3 170.2
Hom 78.7 82.2 25.6 18.6 178.3
Hom 60.5 77.5 24.7 18.1 165.1
Hom 66.8 77.7 27.2 19.5 174.4
Hom 72.1 86.5 25.4 19.4 168.5
Hom 58.8 73.5 26.5 18.6 178.3
Hom 60 72 28.4 19.6 176.1
Hom 65.8 78.4 25 18.3 164.7
Hom 60.4 76.6 25 17.7 166.1
Hom 66 90.1 24 17.9 159.9
Hom 70.9 86.8 24.3 18 168.1
Hom 69.2 84.8 25.1 18.2 165.7
Hom 58.4 80.9 23.6 17.5 159.5
Hom 67.4 76.7 27.5 20.2 180.6
Hom 67.5 84 25.7 18.8 166.6
Hom 74.6 88.1 25.6 19 164.4
Hom 92.1 96.6 27.6 20 176.8
Hom 71.3 86.6 23.8 17.7 164.7
Hom 101.2 101.3 27.8 19.3 178.7
Hom 69 83 25.5 18.4 168.6
